X,Y,N�,DREN,CODE ETA,ETABLISSEM,COMMUNE,QUARTIER,LATITUDE,LONGITUDE,NATURE ETA,EFFECTIF T,field_11,field_12,field_13,icon_url
-3.9667,5.378,"1",ABIDJAN 1,"190336",COLLEGE LES FIGUIERS Cocody,COCODY,RIVIERA,5.378000000000000,-3.966700000000000,GENERALE,"1663",,,,./0.png
-3.9724,5.3758,"2",ABIDJAN 1,"39693",COLLEGE PRIVE LE MUGUET / Cocody-Riviera,COCODY,RIVIERA,5.375800000000000,-3.972400000000000,GENERALE,"153",,,,./0.png
-3.9662,5.3588,"3",ABIDJAN 1,"316",COLLEGE VICTOR SCHOELCHER RIVIERA,COCODY,RIVIERA,5.358800000000000,-3.966200000000000,GENERALE,"447",,,,./0.png
-3.9804,5.3536,"4",ABIDJAN 1,"57939",COLLEGE PRIVE CATHOLIQUE PERE MONTI,COCODY,RIVIERA,5.353600000000000,-3.980400000000000,GENERALE,"236",,,,./0.png
-3.9782,5.356,"5",ABIDJAN 1,"36055",GROUPE SCOLAIRE ANDRE MALRAUX COCODY RIVIERA,COCODY,RIVIERA,5.356000000000000,-3.978200000000000,GENERALE,"698",,,,./0.png
-3.9925,5.3764,"6",ABIDJAN 1,"312",GROUPE SCOLAIRE THANON NAMANKO COCODY 2 PLATEAUX,COCODY,2 PLATEAUX,5.376400000000000,-3.992500000000000,GENERALE,"505",,,,./0.png
-3.9788,5.393,"7",ABIDJAN 1,"190101",COLLEGE KEMA COCODY,COCODY,ANGRE,5.393000000000000,-3.978800000000000,GENERALE,"743",,,,./0.png
-3.9947,5.4114,"8",ABIDJAN 1,"10648",COLLEGE VICTOR LOBA DJOKOUEHI DE COCODY,COCODY,ANGRE-ABOBO-BAOULE,5.411400000000000,-3.994700000000000,GENERALE,"611",,,,./0.png
-3.9874,5.3951,"9",ABIDJAN 1,"21307",ECOLE NOUVELLE IVOIRIENNE (ENI) Cocody Angr�,COCODY,ANGRE,5.395100000000000,-3.987400000000000,GENERALE,"50",,,,./0.png
-3.9885,5.3874,"10",ABIDJAN 1,"190342",GROUPE SCOLAIRE LONNY ROSE,COCODY,COCODY-7eme-TRANCHE,5.387400000000000,-3.988500000000000,GENERALE,"555",,,,./0.png
-4.0078,5.3695,"11",ABIDJAN 1,"39697",COLLEGE PRIVE SHALOM /,COCODY,COCODY- 2 PLATEAUX,5.369500000000000,-4.007800000000000,GENERALE,"668",,,,./0.png
-4.0136,5.3673,"12",ABIDJAN 1,"190216",GROUPE MISA COCODY,COCODY,2 PLATEAUX,5.367300000000000,-4.013600000000000,GENERALE,"565",,,,./0.png
-3.9968,5.3435,"13",ABIDJAN 1,"17146",GROUPE SCOLAIRE PRIVE PROSPER MERIMEE Cocody,COCODY,COCODY-CITE DES ARTS,5.343500000000000,-3.996800000000000,GENERALE,"511",,,,./0.png
-3.9543,5.3835,"14",ABIDJAN 1,"10993",COLLEGE SAINT VIATEUR COCODY,COCODY,RIVIERA,5.383500000000000,-3.954300000000000,GENERALE,"718",,,,./0.png
-3.9434,5.3394,"15",ABIDJAN 1,"39695",COLLEGE PRIVE LES SCARABEES / COCODY,COCODY,RIVIERA,5.339400000000000,-3.943400000000000,GENERALE,"300",,,,./0.png
-3.9551,5.3502,"16",ABIDJAN 1,"341",GROUPE SCOLAIRE L'ARDOISE,COCODY,RIVIERA-III,5.350200000000000,-3.955100000000000,GENERALE,"541",,,,./0.png
-3.9678,5.3548,"17",ABIDJAN 1,"35218",COLLEGE LE PHENIX Cocody,COCODY,RIVIERA-III,5.354800000000000,-3.967800000000000,GENERALE,"294",,,,./0.png
-3.9239,5.3596,"18",ABIDJAN 1,"57942",COLLEGE PRIVE INTERNATIONALE LEONARD DE VINCI ABATTA,COCODY,ABATTA,5.359600000000000,-3.923900000000000,GENERALE,"24",,,,./0.png
-3.9421,5.3861,"19",ABIDJAN 1,"54595",COLLEGE PRIVE MARIE LALOU DE COCODY,COCODY,RIVIERA-PALMERAIE,5.386100000000000,-3.942100000000000,GENERALE,"57",,,,./0.png
-3.9794,5.364,"20",ABIDJAN 1,"190024",GROUPE SCOLAIRE JULES FERRY COCODY,COCODY,ATTOBAN,5.364000000000000,-3.979400000000000,GENERALE,"804",,,,./0.png
-3.993,5.3927,"21",ABIDJAN 1,"49703",COLLEGE IMPERIAL DE COCODY,COCODY,ANGRE,5.392700000000000,-3.993000000000000,GENERALE,"211",,,,./0.png
-3.9736,5.4131,"22",ABIDJAN 1,"21363",GROUPE SCOLAIRE TRAYE BERNARD,COCODY,ANGRE,5.413100000000000,-3.973600000000000,GENERALE,"147",,,,./0.png
-3.9505,5.3304,"23",ABIDJAN 1,"49578",COLLEGE PRIVE OLIVIER DE SARDAN DE RIVIERA CIAD,COCODY,RIVIERA CIAD,5.330400000000000,-3.950500000000000,GENERALE,"121",,,,./0.png
-3.9495,5.3334,"24",ABIDJAN 1,"54597",GROUPE SCOLAIRE JEAN XIII DE COCODY,COCODY,RIVIERA CIAD,5.333400000000000,-3.949500000000000,GENERALE,"19",,,,./0.png
-3.9376,5.329,"25",ABIDJAN 1,"190294",COLLEGE LE NAVIRE (Ex La Pirogue),COCODY,RIVIERA-M'BADON,5.329000000000000,-3.937600000000000,GENERALE,"526",,,,./0.png
-3.9407,5.331,"26",ABIDJAN 1,"39689",COLLEGE CATHOLIQUE SAINT PAUL / M'BADON,COCODY,RIVIERA-M'BADON,5.331000000000000,-3.940700000000000,GENERALE,"679",,,,./0.png
-3.9101,5.3815,"27",ABIDJAN 1,"41604",COLLEGE PRIVE LE MIRI / BINGERVILLE,BINGERVILLE,,5.381500000000000,-3.910100000000000,GENERALE,"241",,,,./0.png
-3.8825,5.3493,"28",ABIDJAN 1,"54593",COLLEGE PRIVE FLEUR DE LYS DE BINGERVILLE,BINGERVILLE,,5.349300000000000,-3.882500000000000,GENERALE,"80",,,,./0.png
-3.991,5.3692,"29",ABIDJAN 1,"343",GROUPE SCOLAIRE LES DAUPHINS 2 PLATEAUX,COCODY,2 PLATEAUX,5.369200000000000,-3.991000000000000,GENERALE,"495",,,,./0.png
-3.9716,5.3964,"30",ABIDJAN 1,"39691",COLLEGE LES ROSIERS / COCODY,COCODY,ANGRE-DJIBI,5.396400000000000,-3.971600000000000,GENERALE,"92",,,,./0.png
-3.9936,5.3467,"31",ABIDJAN 1,"325",COURS SECONDAIRE METHODISTE COCODY,COCODY,COCODY-CHU,5.346700000000000,-3.993600000000000,GENERALE,"688",,,,./0.png
-3.9509,5.3761,"32",ABIDJAN 1,"190604",GROUPE SCOLAIRE LOUIS NICOLLIN,COCODY,RIVIERA-PALMERAIE,5.376100000000000,-3.950900000000000,GENERALE,"171",,,,./0.png
-3.9634,5.4081,"33",ABIDJAN 1,"21362",COURS SECONDAIRE METHODISTE JOHN WESLEY Cocody,COCODY,ANGRE,5.408100000000000,-3.963400000000000,GENERALE,"575",,,,./0.png
-3.9854,5.4057,"34",ABIDJAN 1,"10092",GROUPE SCOLAIRE COMMANDANT COUSTEAU  COCODY,COCODY,ANGRE,5.405700000000000,-3.985400000000000,GENERALE,"708",,,,./0.png
-3.9799,5.4156,"35",ABIDJAN 1,"8977",INSTITUT SCOLAIRE LAVOISIER,COCODY,ANGRE-CHATEAU,5.415600000000000,-3.979900000000000,GENERALE,"824",,,,./0.png
-3.9894,5.4162,"36",ABIDJAN 1,"25013",COLLEGE PRIVE LES FLORIANES,COCODY,ANGRE-CHATEAU,5.416200000000000,-3.989400000000000,GENERALE,"1087",,,,./0.png
-3.9915,5.4151,"37",ABIDJAN 1,"33217",COLLEGE EBURNIE,COCODY,ANGRE-CHATEAU,5.415100000000000,-3.991500000000000,GENERALE,"529",,,,./0.png
-3.965,5.3987,"38",ABIDJAN 1,"197015",COLLEGE PRIVE LE PONT NEUF DE COCODY,COCODY,BESSIKOI-CITE-DIASPORA,5.398700000000000,-3.965000000000000,GENERALE,"10",,,,./0.png
-4.0005,5.3875,"39",ABIDJAN 1,"49580",COLLEGE PRIVE WINGNIUM DE COCODY,COCODY,AU SEIN DE ITS,5.387500000000000,-4.000500000000000,GENERALE,"17",,,,./0.png
-4.0015,5.3653,"40",ABIDJAN 1,"190276",COLLEGE SANTA ANNA,COCODY,2 PLATEAUX,5.365300000000000,-4.001500000000000,GENERALE,"200",,,,./0.png
-3.9724,5.3831,"41",ABIDJAN 1,"41606",COLLEGE S. MARC,COCODY,ANGRE,5.383100000000000,-3.972400000000000,GENERALE,"52",,,,./0.png
-4.0223,5.3277,"42",ABIDJAN 1,"280",COLLEGE NOTRE DAME PLATEAU,PLATEAU,AVENUE CORSET,5.327700000000000,-4.022300000000000,GENERALE,"692",,,,./0.png
-4.02,5.3297,"43",ABIDJAN 1,"328",COURS SECONDAIRE METHODISTE PLATEAU,PLATEAU,BOULEVARD CLOZEL,5.329700000000000,-4.020000000000000,GENERALE,"553",,,,./0.png
-4.0272,5.3521,"44",ABIDJAN 1,"290",COLLEGE SAINT BERNARD ADJAME,ADJAME,MOSQUEE,5.352100000000000,-4.027200000000000,GENERALE,"673",,,,./0.png
-4.0282,5.3529,"45",ABIDJAN 1,"197017",COLLEGE PRIVE NOUR AL HIDAYA DE BROMAKOTE,ADJAME,BROMAKOTE,5.352900000000000,-4.028200000000000,GENERALE,,,,,./0.png
-4.0308,5.3515,"46",ABIDJAN 1,"258",COLLEGE MAKAN TRAORE ADJAME,ADJAME,COMPLEXE MUNICIPALE,5.351500000000000,-4.030800000000000,GENERALE,"796",,,,./0.png
-3.9772,5.3551,"47",ABIDJAN 1,"33024",COLLEGE PRIVE ETIENNE,COCODY,RIVIERA II,5.355100000000000,-3.977200000000000,GENERALE,"850",,,,./0.png
-3.9587,5.3849,"48",ABIDJAN 1,"17144",COLLEGE LA PEROUSE Cocody Rivi�ra Palm�raie,COCODY,RIVIERA PALMERAIE,5.384900000000000,-3.958700000000000,GENERALE,,,,,./0.png
-3.9584,5.3731,"49",ABIDJAN 1,"190190",GROUPE SCOLAIRE AVICENNE RIVIERA,COCODY,RIVIERA,5.373100000000000,-3.958400000000000,GENERALE,"544",,,,./0.png
-3.9295,5.3681,"50",ABIDJAN 1,"54594",COLLEGE PRIVE HENRI CARTAN,COCODY,COCODY RIVIERA FAYA,5.368100000000000,-3.929500000000000,GENERALE,"637",,,,./0.png
-3.9258,5.3783,"51",ABIDJAN 1,"35048",GROUPE SCOLAIRE LES LAUREADES Cocody,COCODY,RIVIERA,5.378300000000000,-3.925800000000000,GENERALE,"619",,,,./0.png
-3.9287,5.3597,"52",ABIDJAN 1,"35222",COLLEGE PIERRE CHARLES II Cocody Akou�do,COCODY,RIVIERA-AKOUEODO,5.359700000000000,-3.928700000000000,GENERALE,"242",,,,./0.png
-4.0253,5.3597,"53",ABIDJAN 1,"353",INSTITUT SACRE COEUR D'ADJAME (ISCA),ADJAME,BRACODI,5.359700000000000,-4.025300000000000,GENERALE,"631",,,,./0.png
-4.0186,5.3523,"54",ABIDJAN 1,"315",COLLEGE VICTOR SCHOELCHER ADJAME,ADJAME,220 LOGEMENTTS,5.352300000000000,-4.018600000000000,GENERALE,"1208",,,,./0.png
-4.0205,5.3519,"55",ABIDJAN 1,"275",COLLEGE MONTHERLANT ADJAME,ADJAME,GARE GAMON,5.351900000000000,-4.020500000000000,GENERALE,"635",,,,./0.png
-4.0179,5.3509,"56",ABIDJAN 1,"354",INSTITUT SOMA SAMAKE ADJAME,ADJAME,220 LOGEMENTTS,5.350900000000000,-4.017900000000000,GENERALE,"679",,,,./0.png
