X,Y,N�,DREN,CODE ETA,ETABLISSEM,COMMUNE,QUARTIER,LATITUDE,LONGITUDE,NATURE ETA,EFFECTIF T,icon_url
-4.0049,5.3553,"547",ABIDJAN 1,,CENTRE D�ENSEIGNEMENT PROFESSIONNEL TECNHNIQUE ET INDUSTRIEL (CEPTI-CESTIA) COCODY,Cocody,Cocody-II Plateaux,5.355300000000000,-4.004900000000000,FORMATION PROFRSSIONNELLE,"127",./0.png
-4.0218,5.3298,"548",ABIDJAN 1,,COURS DE SECRETARIAT NOTRE DAME DU PLATEAU (CSNDP),Plateau,BOULEVARD ANGOULVANT,5.329800000000000,-4.021800000000000,FORMATION PROFRSSIONNELLE,"39",./0.png
-3.9986,5.3634,"549",ABIDJAN 1,,ECOLE  TECHNIQUE INFORMATIQUE ET COMMERCIALE (ETIC) COCODY,Cocody - II Plateaux,COCODY 2 PLATEAUX,5.363400000000000,-3.998600000000000,FORMATION PROFRSSIONNELLE,"321",./0.png
-4.017,5.3217,"550",ABIDJAN 1,,HAUTES ETUDES COMMERCIALES (HEC) LA ROCHE PLATEAU,PLATEAU,ANCIEN MARCHE,5.321700000000000,-4.017000000000000,FORMATION PROFRSSIONNELLE,"5",./0.png
0,0,"551",ABIDJAN 1,,INSTITUT DE FORMATION ET DE RECYCLAGE DES AUXILIAIRES DE SERVICE (IFORAS) COCODY,Cocody,,,,FORMATION PROFRSSIONNELLE,"4",./0.png
-3.9969,5.3976,"552",ABIDJAN 1,,INSTITUT DE FORMATION SAINTE MARIE (IFSM) D�ANGRE,Cocody,ANGRE CITE LES PAPAYERS,5.397600000000000,-3.996900000000000,FORMATION PROFRSSIONNELLE,"119",./0.png
0,0,"553",ABIDJAN 1,,INSTITUT DES SCIENCES APPLIQUEES (ISA)  (ex IMB Bingerville),Bingerville,,,,FORMATION PROFRSSIONNELLE,"161",./0.png
-4.0082,5.3499,"554",ABIDJAN 1,,INSTITUT DE TECHNOLOGIES ET SPECIALITES (ITES) COCODY,Cocody,COCODY 2 PLATEAUX,5.349900000000000,-4.008200000000000,FORMATION PROFRSSIONNELLE,"166",./0.png
-3.9878,5.3837,"555",ABIDJAN 1,,INSTITUT POLYTECHNIQUE INTERNATIONAL FRAN�OIS (IPIF),Cocody,"II plateaux, 7e tranche",5.383700000000000,-3.987800000000000,FORMATION PROFRSSIONNELLE,"52",./0.png
0,0,"556",ABIDJAN 1,,INSTITUT SUPERIEUR DE GESTION ET D�ECONOMIE APPLIQUEE (ISGEA),Plateau Immeuble GYAM,,,,FORMATION PROFRSSIONNELLE,"99",./0.png
-4.0024,5.3458,"557",ABIDJAN 1,,INSTITUT TECHNIQUE DE FORMATION SAINTE MARIE (IFSM),COCODY,Cocody Cit� des Arts,5.345800000000000,-4.002400000000000,FORMATION PROFRSSIONNELLE,"332",./0.png
0,0,"558",ABIDJAN 2,,AFRIQUE FORMATION MARCORY,Marcory,,,,FORMATION PROFRSSIONNELLE,"47",./0.png
0,0,"559",ABIDJAN 2,,CENTRE D�ENSEIGNEMENT TECHNIQUE FEMININ (CETF) NOTRE DAME DE LA PAIX,treichville,,,,FORMATION PROFRSSIONNELLE,"105",./0.png
-3.9418,5.3143,"560",ABIDJAN 2,,CENTRE D�ETUDES SUPERIEURES DES AFFAIRES D�ABIDJAN (CESA) KOUMASSI,Koumassi,KOUMASSI  TERMINUS 05,5.314300000000000,-3.941800000000000,FORMATION PROFRSSIONNELLE,"180",./0.png
-3.9932,5.3018,"561",ABIDJAN 2,,ECOLE  TECHNIQUE INFORMATIQUE ET COMMERCIALE (ETIC) MARCORY,Marcory,MARCORY QUARTIER CHAMPROUX,5.301800000000000,-3.993200000000000,FORMATION PROFRSSIONNELLE,"321",./0.png
0,0,"562",ABIDJAN 2,,ESGT SAINTE THERESE KOUMASSI,Koumassi,Terminus bus N� 11,,,FORMATION PROFRSSIONNELLE,"109",./0.png
-3.9771,5.2902,"563",ABIDJAN 2,,EURO-FORMATION MARCORY,MARCORY,ZONE4 RUE PIERRE MARIE CURIE,5.290200000000000,-3.977100000000000,FORMATION PROFRSSIONNELLE,"65",./0.png
-3.9639,5.2888,"564",ABIDJAN 2,,INSTITUT DE FORMATION SAINTE MARIE (IFSM) DE KOUMASSI,Koumassi,SICOGI,5.288800000000000,-3.963900000000000,FORMATION PROFRSSIONNELLE,"246",./0.png
0,0,"565",ABIDJAN 2,,INSTITUT TECHNIQUE MALLET (ITM) PORT-BOUET,PORT-BOUET,,,,FORMATION PROFRSSIONNELLE,"63",./0.png
-3.9721,5.2912,"566",ABIDJAN 2,,INTELLECT AFRIQUE,Marcory,"Boulevard VGE, Immeuble Intellect",5.291200000000000,-3.972100000000000,FORMATION PROFRSSIONNELLE,"28",./0.png
-3.9616,5.304,"567",ABIDJAN 2,,IST LA COLOMBE KOUMASSI,Koumassi,REMBLAIS,5.304000000000000,-3.961600000000000,FORMATION PROFRSSIONNELLE,"76",./0.png
