X,Y,N�,DREN,CODE ETA,ETABLISSEM,COMMUNE,QUARTIER,LATITUDE,LONGITUDE,NATURE ETA,EFFECTIF T,icon_url
-4.0157,5.3573,"448",ABIDJAN 1,"36001",CARINE�N ADJAME,ADJAME,"HABITAT EXTENSION, AGBAN",5.357300000000000,-4.015700000000000,TECHNIQUE,"176",./0.png
-4.0049,5.3553,"449",ABIDJAN 1,"875078",CENTRE D�ENSEIGNEMENT PROFESSIONNEL TECNHNIQUE ET INDUSTRIEL (CEPTI),COCODY,COCODY 2 PLATEAUX,5.355300000000000,-4.004900000000000,TECHNIQUE,"108",./0.png
-4.0157,5.3573,"450",ABIDJAN 1,"875024",CENTRE D�ENSEIGNEMENT SUPERIEUR TECHNIQUE ET PROFESSIONNEL (CESTP) KIBIO,COCODY,ROSIER PROGRAMME 4,5.357300000000000,-4.015700000000000,TECHNIQUE,"18",./0.png
-3.9956,5.3962,"451",ABIDJAN 1,"875022",CENTRE D�ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL D�ABIDJAN (CETPA),COCODY,COCODY ANGRE CARREFOUR OSCAR,5.396200000000000,-3.995600000000000,TECHNIQUE,"73",./0.png
0,0,"452",ABIDJAN 1,"36002",CENTRE D�ENSEIGNEMENT TECHNIQUE PROF. DES METIERS ET D�ENERGIES RENOUVELABLES (CETPMER) ADJAME,ADJAME,,,,TECHNIQUE,"112",./0.png
0,0,"453",ABIDJAN 1,"58138",COLLEGE PRIVE PROFESSIONNEL VICTOR HUGO D'ADJAME,ADJAME,,,,TECHNIQUE,"90",./0.png
0,0,"454",ABIDJAN 1,"58136",COLLEGE PRIVE TECHNIQUE DJEKAT BINGERVILLE,BINGERVILLE,,,,TECHNIQUE,"78",./0.png
-4.0024,5.3458,"455",ABIDJAN 1,"58137",COLLEGE PRIVE TECHNIQUE IFSM DE COCODY,COCODY,COCODY CENTRE,5.345800000000000,-4.002400000000000,TECHNIQUE,"18",./0.png
-4.0235,5.3651,"456",ABIDJAN 1,"875156",COMPLEXE EDUCATIF MARIE AUZET,ADJAME,WILLIAMSVILLE,5.365100000000000,-4.023500000000000,TECHNIQUE,"220",./0.png
-4.0218,5.3298,"457",ABIDJAN 1,"875036",COURS DE SECRETARIAT NOTRE DAME DU PLATEAU (CSNDP),PLATEAU,BOULEVARD ANGOULVANT,5.329800000000000,-4.021800000000000,TECHNIQUE,"39",./0.png
0,0,"458",ABIDJAN 1,"58139",ECOLE DES ETUDES COMMERCIALES ET ECONOMIQUES,ANGRE 8E TRANCHE,,,,TECHNIQUE,"56",./0.png
0,0,"459",ABIDJAN 1,"875100",ECOLE DES SCIENCES TECHNIQUES EN INFORMATIQUE ET GESTION (ESIG) PLATEAU,PLATEAU,,,,TECHNIQUE,"20",./0.png
-4.971,5.3944,"460",ABIDJAN 1,"36034",ECOLE INTERNATIONALE DE FORMATION PROFESSIONNELLE (E.I.F.P) MICHELLE YAKICE ANGRE,COCODY,COCODY ANGRE,5.394400000000000,-4.971000000000000,TECHNIQUE,"46",./0.png
-3.9873,5.395,"461",ABIDJAN 1,"21307",ECOLE NOUVELLE IVOIRIENNE COCODY ANGRE,COCODY,COCODY ANGRE,5.395000000000000,-3.987300000000000,TECHNIQUE,"15",./0.png
-3.9789,5.3636,"462",ABIDJAN 1,"58924",ECOLE POLYVALENTE DU MAGHREB EN C�TE D�IVOIRE (EPMACI) COCODY,COCODY,"COCODY ANGRE , LAURIER 9",5.363600000000000,-3.978900000000000,TECHNIQUE,"17",./0.png
0,0,"463",ABIDJAN 1,"875081",ECOLE SECONDAIRE KARAMOKO TECHNIQUE  (ESTK) COCODY ANGRE,COCODY,,,,TECHNIQUE,"26",./0.png
0,0,"464",ABIDJAN 1,"875164","ECOLE SUPERIEURE DE COMMERCE, D�ADMINISTRATION ET DE MANAGEMENT (ESCAM) COCODY",COCODY,,,,TECHNIQUE,"13",./0.png
-4.0227,5.3279,"465",ABIDJAN 1,"875094",ECOLE SUPERIEURE D�INFORMATIQUE ET DE COMMERCE (ESICOM) PLATEAU,PLATEAU,BOULEVARD ROUNE,5.327900000000000,-4.022700000000000,TECHNIQUE,"87",./0.png
-3.9986,5.3634,"466",ABIDJAN 1,"36045",ECOLE TECHNIQUE INFORMATIQUE ET COMMERCIALE (ETIC) COCODY 2 PLATEAUX,COCODY,COCODY 2 PLATEAUX,5.363400000000000,-3.998600000000000,TECHNIQUE,"115",./0.png
0,0,"467",ABIDJAN 1,"875141",EVENT ACADEMY COCODY ANGRE,COCODY,,,,TECHNIQUE,"18",./0.png
-3.9655,5.3598,"468",ABIDJAN 1,"37059",GROUPE ECOLES BETHEL COCODY,COCODY,RIVIERA BONOUMIN,5.359800000000000,-3.965500000000000,TECHNIQUE,"155",./0.png
0,0,"469",ABIDJAN 1,"875139",GROUPE IFDEC-INTERNATIONAL (INSTITUT DE FORMATION POUR LE DEVELOPPEMENT DES COMPETENCES) PLATEAU,PLATEAU,,,,TECHNIQUE,"284",./0.png
0,0,"470",ABIDJAN 1,"36096",INSTITUT DES SCIENCES APPLIQUEES ISA BINGERVILLE (Ex IMB),BINGERVILLE,,,,TECHNIQUE,"131",./0.png
